Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,LEFT,1133.333336,"('Time_Max_Exceeded', 1134.0256000000863)",0,,,LEFT,408.2957,15:08.6,15:09.2,101,S2,ConflictResolution
INCONGRUENT,LEFT,733.3333348,"('Time_Max_Exceeded', 733.8814000002003)",0,,,LEFT,472.8874,15:10.0,15:10.7,102,S2,ConflictResolution
INCONGRUENT,LEFT,1000.000002,"('Time_Max_Exceeded', 1000.5596999999398)",0,,,LEFT,376.9534,15:11.7,15:12.3,103,S2,ConflictResolution
INCONGRUENT,LEFT,550.0000011,"('Time_Max_Exceeded', 551.0311000000456)",0,,,LEFT,479.3149,15:12.9,15:13.6,104,S2,ConflictResolution
CONGRUENT,LEFT,1200.000002,"('Time_Max_Exceeded', 1202.9344000000037)",0,,,LEFT,303.0532,15:14.9,15:15.4,105,S2,ConflictResolution
INCONGRUENT,RIGHT,1483.333336,"('Time_Max_Exceeded', 1484.2132999999649)",0,,,RIGHT,445.8848,15:16.9,15:17.6,106,S2,ConflictResolution
CONGRUENT,LEFT,716.6666681,"('Time_Max_Exceeded', 717.164799999864)",0,,,LEFT,401.4408,15:18.4,15:19.0,107,S2,ConflictResolution
CONGRUENT,LEFT,1433.333336,"('Time_Max_Exceeded', 1433.804499999951)",0,,,LEFT,349.6167,15:20.5,15:21.1,108,S2,ConflictResolution
CONGRUENT,RIGHT,1466.66667,"('Time_Max_Exceeded', 1467.4211000001378)",0,,,RIGHT,395.8401,15:22.6,15:23.2,109,S2,ConflictResolution
INCONGRUENT,LEFT,766.6666682,"('Time_Max_Exceeded', 767.3575000001165)",0,,,LEFT,562.442,15:24.0,15:24.8,110,S2,ConflictResolution
INCONGRUENT,RIGHT,500.000001,"('Time_Max_Exceeded', 500.6932000001143)",0,,,RIGHT,575.5046,15:25.4,15:26.2,111,S2,ConflictResolution
CONGRUENT,RIGHT,1333.333336,"('Time_Max_Exceeded', 1333.8160000000698)",0,,,RIGHT,441.5104,15:27.5,15:28.2,112,S2,ConflictResolution
INCONGRUENT,LEFT,1466.66667,"('Time_Max_Exceeded', 1467.1364999999241)",0,,,LEFT,468.3046,15:29.7,15:30.4,113,S2,ConflictResolution
CONGRUENT,RIGHT,916.6666685,"('Time_Max_Exceeded', 917.6486999999725)",0,,,RIGHT,339.8099,15:31.4,15:31.9,114,S2,ConflictResolution
INCONGRUENT,LEFT,1333.333336,"('Time_Max_Exceeded', 1338.811699999951)",0,,,LEFT,449.0142,15:33.3,15:34.0,115,S2,ConflictResolution
CONGRUENT,LEFT,616.6666679,"('Time_Max_Exceeded', 618.7073999999484)",0,,,LEFT,416.4523,15:34.7,15:35.3,116,S2,ConflictResolution
INCONGRUENT,LEFT,1483.333336,"('Time_Max_Exceeded', 1483.7979999999789)",0,,,LEFT,354.022,15:36.8,15:37.4,117,S2,ConflictResolution
INCONGRUENT,LEFT,1366.666669,"('Time_Max_Exceeded', 1367.2112000001562)",0,,,LEFT,393.4583,15:38.8,15:39.4,118,S2,ConflictResolution
CONGRUENT,RIGHT,716.6666681,"('Time_Max_Exceeded', 717.1132000000853)",0,,,RIGHT,456.5163,15:40.2,15:40.9,119,S2,ConflictResolution
INCONGRUENT,RIGHT,966.6666686,"('Time_Max_Exceeded', 967.1837000000778)",0,,,RIGHT,343.5693,15:41.9,15:42.4,120,S2,ConflictResolution
CONGRUENT,RIGHT,1000.000002,"('Time_Max_Exceeded', 1000.5172999999559)",0,,,RIGHT,377.9435,15:43.5,15:44.1,121,S2,ConflictResolution
