Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,600.0000012,FALSE,,"('Time_Max_Exceeded', 0.09800000003679088)",0,LEFT,502.1895,47:19.3,47:20.0,82,s4,ResponseInhibition
RIGHT,1400.000003,TRUE,66.6666668,"('Time_Max_Exceeded', 1402.5219000000106)",0,Time_Max_Exceeded,1500.152967,47:21.4,47:22.9,83,s4,ResponseInhibition
LEFT,850.0000017,FALSE,,"('Time_Max_Exceeded', 0.12099999997872146)",0,LEFT,535.4448,47:23.8,47:24.5,84,s4,ResponseInhibition
RIGHT,1466.66667,FALSE,,"('Time_Max_Exceeded', 1466.9407000000092)",0,RIGHT,470.1626,47:26.0,47:26.7,85,s4,ResponseInhibition
LEFT,1166.666669,FALSE,,"('Time_Max_Exceeded', 0.5462999999963358)",0,LEFT,655.7874,47:27.9,47:28.7,86,s4,ResponseInhibition
LEFT,1216.666669,FALSE,,"('Time_Max_Exceeded', 1217.7369999999996)",0,LEFT,511.5369,47:30.0,47:30.7,87,s4,ResponseInhibition
RIGHT,650.0000013,FALSE,,"('Time_Max_Exceeded', 650.25380000003)",0,RIGHT,513.8561,47:31.3,47:32.1,88,s4,ResponseInhibition
RIGHT,866.6666684,FALSE,,"('Time_Max_Exceeded', 867.1567999999752)",0,RIGHT,495.9559,47:32.9,47:33.6,89,s4,ResponseInhibition
RIGHT,950.0000019,FALSE,,"('Time_Max_Exceeded', 950.2564000000007)",0,RIGHT,539.0468,47:34.6,47:35.4,90,s4,ResponseInhibition
LEFT,1500.000003,FALSE,,"('Time_Max_Exceeded', 0.1686999999606087)",0,LEFT,496.2134,47:36.9,47:37.6,91,s4,ResponseInhibition
LEFT,1150.000002,FALSE,,"('Time_Max_Exceeded', 1150.2926999999659)",0,LEFT,508.7175,47:38.7,47:39.5,92,s4,ResponseInhibition
LEFT,800.0000016,FALSE,,"('Time_Max_Exceeded', 800.1712000000225)",0,LEFT,512.9571,47:40.3,47:41.0,93,s4,ResponseInhibition
LEFT,1033.333335,TRUE,250.0000005,"('Time_Max_Exceeded', 1033.8388000000123)",0,Time_Max_Exceeded,1500.052101,47:42.0,47:43.5,94,s4,ResponseInhibition
RIGHT,1283.333336,FALSE,,"('Time_Max_Exceeded', 0.39590000000089276)",0,RIGHT,461.8332,47:44.8,47:45.5,95,s4,ResponseInhibition
RIGHT,1250.000003,FALSE,,"('Time_Max_Exceeded', 1250.1596000000177)",0,RIGHT,433.8845,47:46.8,47:47.4,96,s4,ResponseInhibition
RIGHT,1383.333336,FALSE,,"('Time_Max_Exceeded', 1383.8940000000548)",0,RIGHT,455.6699,47:48.8,47:49.5,97,s4,ResponseInhibition
LEFT,1066.666669,FALSE,,"('Time_Max_Exceeded', 1067.980700000021)",0,LEFT,450.7907,47:50.5,47:51.2,98,s4,ResponseInhibition
RIGHT,1500.000003,FALSE,,"('Time_Max_Exceeded', 0.10530000008657225)",0,RIGHT,361.503,47:52.7,47:53.3,99,s4,ResponseInhibition
LEFT,650.0000013,FALSE,,"('Time_Max_Exceeded', 650.532300000009)",0,LEFT,458.2911,47:53.9,47:54.6,100,s4,ResponseInhibition
RIGHT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.1666000000114)",0,RIGHT,346.44,47:55.9,47:56.5,101,s4,ResponseInhibition
RIGHT,1233.333336,TRUE,283.3333339,"('Time_Max_Exceeded', 1233.6652999999842)",0,RIGHT,402.8569339,47:57.7,47:58.3,102,s4,ResponseInhibition
LEFT,683.3333347,FALSE,,"('Time_Max_Exceeded', 683.6353999999574)",0,LEFT,502.3607,47:59.1,47:59.8,103,s4,ResponseInhibition
RIGHT,750.0000015,TRUE,250.0000005,"('Time_Max_Exceeded', 0.44049999996786937)",0,Time_Max_Exceeded,1500.0517,48:00.5,48:02.0,104,s4,ResponseInhibition
RIGHT,583.3333345,TRUE,266.6666672,"('Time_Max_Exceeded', 583.394300000009)",0,Time_Max_Exceeded,1500.057667,48:02.6,48:04.1,105,s4,ResponseInhibition
RIGHT,850.0000017,FALSE,,"('Time_Max_Exceeded', 0.45920000002297456)",0,RIGHT,654.1583,48:05.0,48:05.9,106,s4,ResponseInhibition
RIGHT,683.3333347,FALSE,,"('Time_Max_Exceeded', 683.5585000000037)",0,RIGHT,673.4416,48:06.6,48:07.4,107,s4,ResponseInhibition
RIGHT,1050.000002,FALSE,,"('Time_Max_Exceeded', 1050.363999999945)",0,RIGHT,372.3633,48:08.5,48:09.1,108,s4,ResponseInhibition
RIGHT,933.3333352,FALSE,,"('Time_Max_Exceeded', 0.1068000000259417)",0,RIGHT,444.0604,48:10.0,48:10.7,109,s4,ResponseInhibition
RIGHT,800.0000016,FALSE,,"('Time_Max_Exceeded', 800.329099999999)",0,RIGHT,488.0373,48:11.5,48:12.2,110,s4,ResponseInhibition
RIGHT,1500.000003,FALSE,,"('Time_Max_Exceeded', 1500.3343999999288)",0,RIGHT,453.1488,48:13.7,48:14.4,111,s4,ResponseInhibition
LEFT,716.6666681,FALSE,,"('Time_Max_Exceeded', 717.0611000000235)",0,LEFT,594.0561,48:15.1,48:15.9,112,s4,ResponseInhibition
LEFT,1350.000003,TRUE,300.0000006,"('Time_Max_Exceeded', 1350.295600000095)",0,LEFT,416.9404006,48:17.3,48:17.9,113,s4,ResponseInhibition
RIGHT,1316.666669,TRUE,266.6666672,"('Time_Max_Exceeded', 1317.776899999899)",0,Time_Max_Exceeded,1500.049767,48:19.2,48:20.7,114,s4,ResponseInhibition
RIGHT,566.6666678,FALSE,,"('Time_Max_Exceeded', 566.7502000000013)",0,RIGHT,627.7372,48:21.3,48:22.1,115,s4,ResponseInhibition
LEFT,1133.333336,FALSE,,"('Time_Max_Exceeded', 1133.577100000025)",0,LEFT,545.2173,48:23.3,48:24.0,116,s4,ResponseInhibition
LEFT,1200.000002,TRUE,283.3333339,"('Time_Max_Exceeded', 1200.3090000000611)",0,Time_Max_Exceeded,1500.081434,48:25.2,48:26.7,117,s4,ResponseInhibition
RIGHT,666.666668,TRUE,316.6666673,"('Time_Max_Exceeded', 0.6417999999257518)",0,Time_Max_Exceeded,1500.058467,48:27.4,48:28.9,118,s4,ResponseInhibition
LEFT,1150.000002,FALSE,,"('Time_Max_Exceeded', 0.5634000000327433)",0,LEFT,609.5562,48:30.1,48:30.9,119,s4,ResponseInhibition
LEFT,666.666668,FALSE,,"('Time_Max_Exceeded', 666.0082000000784)",0,LEFT,766.5064,48:31.6,48:32.6,120,s4,ResponseInhibition
RIGHT,766.6666682,FALSE,,"('Time_Max_Exceeded', 769.7236000000203)",0,RIGHT,610.5871,48:33.3,48:34.2,121,s4,ResponseInhibition
RIGHT,1333.333336,FALSE,,"('Time_Max_Exceeded', 1333.6632000000463)",0,RIGHT,633.7708,48:35.5,48:36.3,122,s4,ResponseInhibition
RIGHT,950.0000019,FALSE,,"('Time_Max_Exceeded', 950.2668999999742)",0,RIGHT,480.3336,48:37.3,48:38.0,123,s4,ResponseInhibition
