Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Duration,Participant,Task
CONGRUENT,LEFT,1100.0000022,,,,,LEFT,569.2759999999453,2019-10-31 16:28:22.308315,2019-10-31 16:28:23.085512,60,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,750.0000015,,,,,LEFT,517.1301999999969,2019-10-31 16:28:23.864311,2019-10-31 16:28:24.589943,61,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1433.3333362,,,,,LEFT,625.019199999997,2019-10-31 16:28:26.050502,2019-10-31 16:28:26.884155,62,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,833.333335,,,,,LEFT,538.6797999999544,2019-10-31 16:28:27.744151,2019-10-31 16:28:28.492301,63,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1366.6666694,,,,,RIGHT,584.7538000000441,2019-10-31 16:28:29.888425,2019-10-31 16:28:30.680785,64,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1300.0000026,,,,,LEFT,418.8444000000118,2019-10-31 16:28:32.011019,2019-10-31 16:28:32.637482,65,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,516.6666677000001,,,,,LEFT,779.3047999999771,2019-10-31 16:28:33.184972,2019-10-31 16:28:34.171708,66,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1000.000002,,,,,RIGHT,425.21580000004633,2019-10-31 16:28:35.193298,2019-10-31 16:28:35.826661,67,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,850.0000017,,,,,LEFT,414.25920000006045,2019-10-31 16:28:36.705679,2019-10-31 16:28:37.326741,68,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,750.0000015,,,,,LEFT,646.2577999999439,2019-10-31 16:28:38.105256,2019-10-31 16:28:38.959853,69,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,583.3333345,,,,,RIGHT,372.25180000007185,2019-10-31 16:28:39.572450,2019-10-31 16:28:40.153225,70,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,600.0000012,,,,,RIGHT,581.4799000000903,2019-10-31 16:28:40.780903,2019-10-31 16:28:41.570857,71,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1416.6666695000001,,,,,RIGHT,927.2251999999526,2019-10-31 16:28:43.017929,2019-10-31 16:28:44.153367,72,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1250.0000025,,,,,RIGHT,541.7579999999589,2019-10-31 16:28:45.429831,2019-10-31 16:28:46.180401,73,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,783.3333349000001,,,,,RIGHT,630.841700000019,2019-10-31 16:28:46.993831,2019-10-31 16:28:47.831571,74,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1233.3333358,,,,,RIGHT,385.1715000000695,2019-10-31 16:28:49.095373,2019-10-31 16:28:49.688478,75,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1100.0000022,,,,,RIGHT,537.2037999999293,2019-10-31 16:28:50.808279,2019-10-31 16:28:51.553235,76,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,533.3333344,,,,,RIGHT,513.6205000000018,2019-10-31 16:28:52.107767,2019-10-31 16:28:52.828558,77,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1350.0000027,,,,,RIGHT,582.7019999999266,2019-10-31 16:28:54.207439,2019-10-31 16:28:54.998467,78,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1466.6666696,,,,,LEFT,406.70940000006794,2019-10-31 16:28:56.494893,2019-10-31 16:28:57.110263,79,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1316.6666693,,,,,LEFT,540.0867000000744,2019-10-31 16:28:58.456724,2019-10-31 16:28:59.205367,80,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,933.3333352,,,,,LEFT,545.4860999999482,2019-10-31 16:29:00.170509,2019-10-31 16:29:00.924902,81,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1150.0000023,,,,,RIGHT,435.5266000000029,2019-10-31 16:29:02.104893,2019-10-31 16:29:02.749055,82,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,566.6666678,,,,,LEFT,663.4435000000849,2019-10-31 16:29:03.345427,2019-10-31 16:29:04.217469,83,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1083.3333355,,,,,RIGHT,590.1808999999503,2019-10-31 16:29:05.328890,2019-10-31 16:29:06.127073,84,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1050.0000021,,,,,LEFT,614.0912000000753,2019-10-31 16:29:07.205331,2019-10-31 16:29:08.027121,85,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,916.6666685,,,,,RIGHT,655.6487000000288,2019-10-31 16:29:08.973453,2019-10-31 16:29:09.837228,86,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1383.3333361,,,,,LEFT,384.18560000002344,2019-10-31 16:29:11.250923,2019-10-31 16:29:11.842777,87,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1133.3333356,,,,,LEFT,493.7385999999151,2019-10-31 16:29:13.006630,2019-10-31 16:29:13.708687,88,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,916.6666685,,,,,RIGHT,482.67390000000887,2019-10-31 16:29:14.655485,2019-10-31 16:29:15.345828,89,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1216.6666691,,,,,LEFT,598.804399999949,2019-10-31 16:29:16.592604,2019-10-31 16:29:17.399833,90,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1433.3333362,,,,,LEFT,492.0055999999704,2019-10-31 16:29:18.863971,2019-10-31 16:29:19.563884,91,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1033.3333354000001,,,,,LEFT,493.6653000000888,2019-10-31 16:29:20.624552,2019-10-31 16:29:21.326584,92,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,883.3333351,,,,,RIGHT,578.9753999999903,2019-10-31 16:29:22.232785,2019-10-31 16:29:23.019794,93,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,950.0000019,,,,,RIGHT,717.8132000000232,2019-10-31 16:29:23.990902,2019-10-31 16:29:24.915816,94,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1133.3333356,,,,,LEFT,672.1595000000207,2019-10-31 16:29:26.081049,2019-10-31 16:29:26.960606,95,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1433.3333362,,,,,RIGHT,580.2966999999626,2019-10-31 16:29:28.422499,2019-10-31 16:29:29.210628,96,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,650.0000013,,,,,LEFT,548.9950999999564,2019-10-31 16:29:29.888944,2019-10-31 16:29:30.646796,97,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1033.3333354000001,,,,,LEFT,374.55640000007406,2019-10-31 16:29:31.704808,2019-10-31 16:29:32.288232,98,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,716.6666681,,,,,RIGHT,580.6604999999081,2019-10-31 16:29:33.032295,2019-10-31 16:29:33.821259,99,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,533.3333344,,,,,LEFT,407.98209999991286,2019-10-31 16:29:34.382026,2019-10-31 16:29:34.998012,100,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1316.6666693,,,,,LEFT,491.9596999999385,2019-10-31 16:29:36.344773,2019-10-31 16:29:37.044145,101,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1233.3333358,,,,,LEFT,609.0513999999985,2019-10-31 16:29:38.304908,2019-10-31 16:29:39.122168,102,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1333.3333360000001,,,,,RIGHT,550.7631000000401,2019-10-31 16:29:40.486868,2019-10-31 16:29:41.244715,103,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,1000.000002,,,,,LEFT,614.5159999999805,2019-10-31 16:29:42.274027,2019-10-31 16:29:43.095678,104,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1200.0000024,,,,,RIGHT,762.5071999999591,2019-10-31 16:29:44.324359,2019-10-31 16:29:45.295395,105,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,750.0000015,,,,,RIGHT,805.6976999999961,2019-10-31 16:29:46.075025,2019-10-31 16:29:47.088597,106,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,966.6666686,,,,,RIGHT,445.3866000000062,2019-10-31 16:29:48.084376,2019-10-31 16:29:48.737668,107,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1000.000002,,,,,LEFT,469.70520000002125,2019-10-31 16:29:49.767999,2019-10-31 16:29:50.445725,108,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1016.6666687000001,,,,,LEFT,715.2661999999737,2019-10-31 16:29:51.494216,2019-10-31 16:29:52.418958,109,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1183.3333357000001,,,,,LEFT,474.303999999961,2019-10-31 16:29:53.626031,2019-10-31 16:29:54.309209,110,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,533.3333344,,,,,RIGHT,644.1297000000077,2019-10-31 16:29:54.862423,2019-10-31 16:29:55.714765,111,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1383.3333361,,,,,RIGHT,570.2748999999585,2019-10-31 16:29:57.128051,2019-10-31 16:29:57.906186,112,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,850.0000017,,,,,RIGHT,671.9935999999507,2019-10-31 16:29:58.776557,2019-10-31 16:29:59.655777,113,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1150.0000023,,,,,RIGHT,377.5476000000708,2019-10-31 16:30:00.835682,2019-10-31 16:30:01.420790,114,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,850.0000017,,,,,RIGHT,602.7427000000216,2019-10-31 16:30:02.299112,2019-10-31 16:30:03.111310,115,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,983.3333353,,,,,RIGHT,454.2974000000868,2019-10-31 16:30:04.123897,2019-10-31 16:30:04.787121,116,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1483.3333363,,,,,RIGHT,598.2378999999582,2019-10-31 16:30:06.293523,2019-10-31 16:30:07.101437,117,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1183.3333357000001,,,,,RIGHT,501.72539999994115,2019-10-31 16:30:08.309046,2019-10-31 16:30:09.018572,118,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,766.6666682,,,,,LEFT,736.912499999903,2019-10-31 16:30:09.809703,2019-10-31 16:30:10.753880,119,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,1250.0000025,,,,,RIGHT,1000.3037999999833,2019-10-31 16:30:12.034753,2019-10-31 16:30:13.242851,120,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,850.0000017,,,,,LEFT,962.9950999999437,2019-10-31 16:30:14.123516,2019-10-31 16:30:15.294594,121,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,1450.0000029,,,,,RIGHT,1269.6471999998948,2019-10-31 16:30:16.774505,2019-10-31 16:30:18.251979,122,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,933.3333352,,,,,LEFT,771.3658000000123,2019-10-31 16:30:19.214855,2019-10-31 16:30:20.193600,123,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,700.0000014,,,,,RIGHT,596.5053999999554,2019-10-31 16:30:20.924303,2019-10-31 16:30:21.728619,124,6.53653955,s3,ConflictResolution
INCONGRUENT,RIGHT,683.3333347,,,,,RIGHT,692.6819999999907,2019-10-31 16:30:22.443896,2019-10-31 16:30:23.344416,125,6.53653955,s3,ConflictResolution
CONGRUENT,LEFT,1416.6666695000001,,,,,LEFT,475.55980000004183,2019-10-31 16:30:24.783018,2019-10-31 16:30:25.466186,126,6.53653955,s3,ConflictResolution
CONGRUENT,RIGHT,866.6666684,,,,,RIGHT,504.18770000010227,2019-10-31 16:30:26.362883,2019-10-31 16:30:27.073911,127,6.53653955,s3,ConflictResolution
INCONGRUENT,LEFT,966.6666686,,,,,LEFT,561.5136999999777,2019-10-31 16:30:28.069858,2019-10-31 16:30:28.838785,128,6.53653955,s3,ConflictResolution
