Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
INCONGRUENT,RIGHT,1383.333336,"('Time_Max_Exceeded', 1383.6572999999817)",0,,,RIGHT,522.0906,54:16.7,54:17.4,78,s4,ConflictResolution
CONGRUENT,LEFT,900.0000018,"('Time_Max_Exceeded', 902.28639999998)",0,,,LEFT,427.3505,54:18.3,54:18.9,79,s4,ConflictResolution
CONGRUENT,RIGHT,900.0000018,"('Time_Max_Exceeded', 900.3253000000768)",0,,,RIGHT,412.1092,54:19.9,54:20.5,80,s4,ConflictResolution
CONGRUENT,LEFT,966.6666686,"('Time_Max_Exceeded', 966.9751000000133)",0,,,LEFT,414.7227,54:21.5,54:22.1,81,s4,ConflictResolution
CONGRUENT,LEFT,1416.66667,"('Time_Max_Exceeded', 1416.8465000000197)",0,,,LEFT,389.6647,54:23.5,54:24.1,82,s4,ConflictResolution
INCONGRUENT,LEFT,1033.333335,"('Time_Max_Exceeded', 1033.5871999999426)",0,,,LEFT,579.4855,54:25.2,54:26.0,83,s4,ConflictResolution
INCONGRUENT,LEFT,916.6666685,"('Time_Max_Exceeded', 918.5241999999789)",0,,,LEFT,560.0324,54:26.9,54:27.7,84,s4,ConflictResolution
CONGRUENT,LEFT,833.333335,"('Time_Max_Exceeded', 0.1643000000512984)",0,,,LEFT,430.45,54:28.5,54:29.2,85,s4,ConflictResolution
CONGRUENT,LEFT,766.6666682,"('Time_Max_Exceeded', 766.8171999999913)",0,,,LEFT,434.4141,54:30.0,54:30.6,86,s4,ConflictResolution
INCONGRUENT,LEFT,1316.666669,"('Time_Max_Exceeded', 1316.9944999999643)",0,,,LEFT,580.9746,54:32.0,54:32.7,87,s4,ConflictResolution
INCONGRUENT,RIGHT,1033.333335,"('Time_Max_Exceeded', 1033.61510000002)",0,,,RIGHT,587.0127,54:33.8,54:34.6,88,s4,ConflictResolution
CONGRUENT,LEFT,916.6666685,"('Time_Max_Exceeded', 0.5122000000028493)",0,,,LEFT,471.6742,54:35.5,54:36.2,89,s4,ConflictResolution
